,created_at,favorites,retweets,text,tweet_id,user_id,user_name,user_screen_name
18,1581524536000.0,2,0,"Guess we will see the impact on iPhone China sell “fairly soon” soon too

#AAPL #NASDAQ #SPX #DJIA #OMXS30https://twitter.com/StockBoardAsset/status/1227628208662540289 …",1227629000765399041,438614859,𝒫ℴ𝓅𓁹𝒞𝒽𝒶𝓇𝓉𝓈,438614859
19,1581524205000.0,0,0," Trading Signals for Today, Feb 12, 2020 
#SP500 #EURUSD #GBPUSD #amzn $amzn #aapl $aapl
#TSLA $TSLApic.twitter.com/J8WnHbdDDi",1227627612467539969,1027607372221607937,Monfex,1027607372221607937
20,1581548049000.0,1,0,"SPY Support and Resistance (Pivots) for Thu 2/13/20:

$FB $AMZN $AAPL
$GOOG $TSLA $C
$BAC $BMY $IBB
$MSFT $NFLX $NVDA $JNJ
#stocks #pivots #markets #daytrading #watchlist #charts #aapl #ATHS $spx #spy #tsla #fb #bac #celg #ibb #msft #nvda #JnJ #c #AMZNpic.twitter.com/fMYxjoQlwx",1227727619791163392,1485856448,Spider*Man,1485856448
21,1581545002000.0,0,0,"Apple Inc price at close, 2020-02-12, is 325.23. #apple #AAPL",1227714838715097089,2321091087,Apple Stock Bot,2321091087
22,1581544479000.0,9,0,"So #market close here is our positions.  $BABA taking a nice incline today.

Massive thanks, today we went from 39 to 95 followers! Thats insane, i am really grateful. I want the quality of my content to keep you coming #value 

Tomorrow we get a dividend from #AAPL pic.twitter.com/fDkfOli2W8",1227712647229005825,1226182750866149383,Investment Talk™,1226182750866149383
23,1581542918000.0,0,0,#aapl cant wait till the market wakes up and figures out that china is screwed and it will bleed the US markets.   #spy #qqq It will be a blood bath I can't wait.,1227706100755116034,1223017362414112768,covertsa,1223017362414112768
24,1581542914000.0,0,0,"Macs powered by AMD CPUs from 2020..
#AMD #AAPL #Mac #Catalina #TSMC #通富微电
https://twitter.com/_rogame/status/1225381275617415168?s=21 …https://twitter.com/_rogame/status/1225381275617415168 …",1227706082178600962,1167956862685319168,eFin,1167956862685319168
25,1581542181000.0,0,0,"$AAPL pushes through Tuesday's high: https://techniquant.com/reports/stock-aapl-daily-technical-analysis-report-for-2020-02-12/ …
Sentiment: Bullish #AAPL #Apple",1227703010555580419,931115585790009346,TQ Equities,931115585790009346
26,1581540294000.0,2,0,"#XTZ Tezos is on a berserker rampage.... this feels like #Ethereum in mid 2017
$spy #bitcoin #ALTSEASON #aapl",1227695092711882753,1221298090025439232,NomadHarry,1221298090025439232
27,1581539996000.0,1,0,$AAPL #AAPL just like that... near all time highs as suggested. pic.twitter.com/wKhJgRA3ld,1227693844294139904,840029394567598081,Option Pros,840029394567598081
28,1581539678000.0,0,0,BLOCK TRADE detected in #AAPL,1227692511503802370,31001654,Fari Hamzei,31001654
29,1581534639000.0,0,0,#Aapl diamond pattern? pic.twitter.com/1n4bgdS0yF,1227671374677905408,2857270781,gd.shepherd3,2857270781
30,1581533243000.0,2,0,"Keep going I started at 265$ 
I would say 500$ until the end of #2020
#Apple #aapl #sharepic.twitter.com/2hdf0UOGN3",1227665518460575750,758750896809385984,Milan,758750896809385984
31,1581532203000.0,2,2,The latest Market Snapshot column from MarketWatch https://zcu.io/iREu   -  I am watching  #BCRX  and  #PLUG very closely!  #etrade #marketwatch #future #stock #GOOGL #AAPL #AMZN (V - VISA)  TSLA BYND NKE let's go!!pic.twitter.com/tx7clKnmzE,1227661158833774592,724125342,YWPN Network News,724125342
32,1581529371000.0,1,0,WAVE 4 IN AAPL IS ENDING NOW  LOOK FOR 366 TO 372 FAST - #AAPL chart http://www.tradingview.com/chart/AAPL/nMQ30g9G-WAVE-4-IN-AAPL-IS-ENDING-NOW-LOOK-FOR-366-TO-372-FAST/ …,1227649281479196672,411259786,BILL SIGNORILE,411259786
33,1581529016000.0,0,0,Global Crypto Market Cap Breaks $300B For First Time Since August - #AAPL #Altcoins #Apple #Bitcoin #BTC #BtcMarketCap #BtcPrice #News #NewsTeaser #USDT - https://paulcrypto.com/2020/02/12/global-crypto-market-cap-breaks-300b-for-first-time-since-august/ …pic.twitter.com/DaCaww3uWi,1227647791712755712,126159663,PaulCrypto.com,126159663
34,1581526540000.0,0,0,Apple Just Made A Striking New Security Move That Could Impact All Users via @Forbes #privacy #dataprotection #AAPL https://flip.it/hvXpz0 ,1227637407043842048,34798476,Liz H. Kelly,34798476
35,1581526360000.0,0,0,$AAPL #AAPL I don’t see no reason why this doesn’t see all time highs and 330.,1227636648416104449,840029394567598081,Option Pros,840029394567598081
36,1581525060000.0,0,0,"I thought so too :) lol ""#bearmarket"" @nastynate1 #AAPL $AAPLhttps://stocktwits.com/TheOptionsPros/message/194554042 …",1227631196731035648,840029394567598081,Option Pros,840029394567598081
37,1581524789000.0,0,0,Nice little range - #AAPL chart http://www.tradingview.com/chart/AAPL/fKL8sv8P-Nice-little-range/ …,1227630061408288770,2450642797,Wolfe,2450642797
38,1581524536000.0,2,0,"Guess we will see the impact on iPhone China sell “fairly soon” soon too

#AAPL #NASDAQ #SPX #DJIA #OMXS30https://twitter.com/StockBoardAsset/status/1227628208662540289 …",1227629000765399041,438614859,𝒫ℴ𝓅𓁹𝒞𝒽𝒶𝓇𝓉𝓈,438614859
39,1581524205000.0,0,0," Trading Signals for Today, Feb 12, 2020 
#SP500 #EURUSD #GBPUSD #amzn $amzn #aapl $aapl
#TSLA $TSLApic.twitter.com/J8WnHbdDDi",1227627612467539969,1027607372221607937,Monfex,1027607372221607937
40,1581520215000.0,0,0,AAPL – Made $271.00 Day Trading Apple. Easy trade following one of my easier strategies. #apple #aapl #daytrade #daytrading #trade4profits #stockmarkethttps://youtu.be/O_7VnQgKodU ,1227610877760884736,573954722,J D Dawson,573954722
41,1581519392000.0,3,1,In the last quarter #AAPL bought back $20bn of shares. There are only 35 companies listed in the UK with a market cap bigger.,1227607422774206467,242828054,Jonathan Curry,242828054
42,1581518357000.0,1,0,"""#ApplePay is On Pace to Account for 10% of All Global Card Transactions"" via @qz #AAPL https://qz.com/1799912/apple-pay-on-pace-to-account-for-10-percent-of-global-card-transactions/ …pic.twitter.com/iYbSqG5pqi",1227603083342958592,34547390,Mike Janes,34547390
43,1581516068000.0,0,0,go long - #AAPL chart http://www.tradingview.com/chart/AAPL/LZuslXi9-go-long/ …,1227593481901629446,230421390,Snithin P R,230421390
44,1581501350000.0,0,0,"FTC Asks Tech Giants To Hand Over Details Of Every Single Acquisition They Made Last Decade.
#AAPL #AMZN #FB #MSFT #GOOGpic.twitter.com/Zw52iOpvet",1227531750986911744,3015919215,Warren Marsh,3015919215
45,1581500988000.0,0,0,"@MKBHD hey Marques, thoughts on Apple’s new patent for foldable? #AAPL",1227530232225128449,1226182750866149383,Investment Talk™,1226182750866149383
46,1581496892000.0,0,0,#SP500 the big bubble continues to swell. It Will be a terrifying outbreak.  WARNING . It Will be sudden..... #NASDAQ #Futures #AAPL #MSFT #TSLA,1227513054004424711,1196041711228719105,Pippoita88,1196041711228719105
47,1581491388000.0,2,0,"Morning everyone! Looks like i misplaced my dates as #AAPL dividend doesn’t come in until 13-Feb!

The day is young and i am ready to get to work, up to 43 followers now too, blown away by the traction here #valuegrowth",1227489967837859841,1226182750866149383,Investment Talk™,1226182750866149383
48,1581484248000.0,25,3,"$AAPL #AAPL Some call it a diamond top, some call it a fish. pic.twitter.com/R0ugtAF394",1227460021082054658,969571031030616071,TrendSpider,969571031030616071
49,1581467316000.0,0,0,"This is #AAPL 
Now ? pic.twitter.com/vS6JRGTLIk",1227389003403427840,745492782609928192,"Dr.Anirudh Sethi ,PhD",745492782609928192
